Date,App_Name,Category,Minutes_Used
2026-07-18,WhatsApp,Social Media,58
2026-07-18,YouTube,Entertainment,81
2026-07-18,Coursera,Education,18
2026-07-18,GitHub,Coding,46
2026-07-19,TikTok,Social Media,84
2026-07-19,WhatsApp,Social Media,35
2026-07-19,YouTube,Entertainment,35
2026-07-19,Netflix,Entertainment,50
2026-07-19,Spotify,Entertainment,39
2026-07-19,VS Code,Coding,59
2026-07-19,GitHub,Coding,21
2026-07-20,Instagram,Social Media,83
2026-07-20,WhatsApp,Social Media,62
2026-07-20,YouTube,Entertainment,54
2026-07-20,Netflix,Entertainment,38
2026-07-20,Duolingo,Education,19
2026-07-20,Coursera,Education,10
2026-07-20,GitHub,Coding,45
2026-07-21,WhatsApp,Social Media,59
2026-07-21,YouTube,Entertainment,58
2026-07-21,Netflix,Entertainment,53
2026-07-21,Spotify,Entertainment,49
2026-07-21,Duolingo,Education,15
2026-07-21,Coursera,Education,22
2026-07-21,VS Code,Coding,91
2026-07-21,GitHub,Coding,38
2026-07-22,TikTok,Social Media,29
2026-07-22,WhatsApp,Social Media,76
2026-07-22,YouTube,Entertainment,28
2026-07-22,Netflix,Entertainment,51
2026-07-22,Duolingo,Education,36
2026-07-22,GitHub,Coding,81
2026-07-23,Instagram,Social Media,79
2026-07-23,TikTok,Social Media,76
2026-07-23,WhatsApp,Social Media,42
2026-07-23,YouTube,Entertainment,20
2026-07-23,Duolingo,Education,32
2026-07-23,Coursera,Education,29
2026-07-23,VS Code,Coding,69
2026-07-23,GitHub,Coding,80
2026-07-24,Instagram,Social Media,26
2026-07-24,TikTok,Social Media,39
2026-07-24,WhatsApp,Social Media,59
2026-07-24,Spotify,Entertainment,15
2026-07-24,Duolingo,Education,21
2026-07-24,Coursera,Education,16
2026-07-24,VS Code,Coding,23
2026-07-24,GitHub,Coding,48
2026-07-25,Instagram,Social Media,124
2026-07-25,TikTok,Social Media,61
2026-07-25,WhatsApp,Social Media,62
2026-07-25,YouTube,Entertainment,89
2026-07-25,Spotify,Entertainment,49
2026-07-25,Duolingo,Education,6
2026-07-25,VS Code,Coding,20
2026-07-26,Instagram,Social Media,121
2026-07-26,WhatsApp,Social Media,118
2026-07-26,YouTube,Entertainment,35
2026-07-26,Netflix,Entertainment,98
2026-07-26,Spotify,Entertainment,39
2026-07-26,Duolingo,Education,8
2026-07-26,Coursera,Education,15
2026-07-26,VS Code,Coding,46
2026-07-26,GitHub,Coding,38
2026-07-27,WhatsApp,Social Media,54
2026-07-27,Spotify,Entertainment,19
2026-07-27,Coursera,Education,20
2026-07-27,GitHub,Coding,26
2026-07-28,TikTok,Social Media,85
2026-07-28,YouTube,Entertainment,57
2026-07-28,Netflix,Entertainment,42
2026-07-28,Spotify,Entertainment,70
2026-07-28,Coursera,Education,26
2026-07-28,GitHub,Coding,34
2026-07-29,Instagram,Social Media,42
2026-07-29,TikTok,Social Media,60
2026-07-29,WhatsApp,Social Media,34
2026-07-29,YouTube,Entertainment,70
2026-07-29,Spotify,Entertainment,49
2026-07-29,Duolingo,Education,10
2026-07-29,VS Code,Coding,72
2026-07-29,GitHub,Coding,120
2026-07-30,TikTok,Social Media,25
2026-07-30,WhatsApp,Social Media,58
2026-07-30,YouTube,Entertainment,65
2026-07-30,Netflix,Entertainment,42
2026-07-30,Spotify,Entertainment,61
2026-07-30,Duolingo,Education,40
2026-07-30,GitHub,Coding,17
2026-07-31,Instagram,Social Media,32
2026-07-31,WhatsApp,Social Media,86
2026-07-31,YouTube,Entertainment,69
2026-07-31,Netflix,Entertainment,18
2026-07-31,Spotify,Entertainment,20
2026-07-31,Duolingo,Education,9
2026-07-31,Coursera,Education,20
